"","test3$TimeConverted","X_coord","Y_coord","hr","time"
"244",2019-12-05 23:16:04,-0.123079657554626,51.5069484710693,128,2019-12-05 23:16:04
"245",2019-12-05 23:16:05,-0.12306272983551,51.506986618042,128,2019-12-05 23:16:05
"246",2019-12-05 23:16:06,-0.123027920722961,51.5070413351059,128,2019-12-05 23:16:06
"247",2019-12-05 23:16:07,-0.122985601425171,51.5071026086807,128,2019-12-05 23:16:07
"248",2019-12-05 23:16:08,-0.122944712638855,51.5071620941162,128,2019-12-05 23:16:08
"249",2019-12-05 23:16:09,-0.122909188270569,51.5072108507156,128,2019-12-05 23:16:09
"250",2019-12-05 23:16:10,-0.122877717018127,51.5072507858276,128,2019-12-05 23:16:10
"251",2019-12-05 23:16:11,-0.122846603393555,51.5072840452194,128,2019-12-05 23:16:11
"252",2019-12-05 23:16:12,-0.122812032699585,51.5073112249374,128,2019-12-05 23:16:12
"253",2019-12-05 23:16:13,-0.122784376144409,51.5073291063309,128,2019-12-05 23:16:13
"254",2019-12-05 23:16:14,-0.12276017665863,51.5073411464691,129,2019-12-05 23:16:14
"255",2019-12-05 23:16:15,-0.122737407684326,51.5073493719101,129,2019-12-05 23:16:15
"256",2019-12-05 23:16:16,-0.122715353965759,51.5073554515839,129,2019-12-05 23:16:16
"257",2019-12-05 23:16:17,-0.122697114944458,51.5073586702347,129,2019-12-05 23:16:17
"258",2019-12-05 23:16:18,-0.122682332992554,51.5073595046997,130,2019-12-05 23:16:18
"259",2019-12-05 23:16:19,-0.12267017364502,51.5073584318161,130,2019-12-05 23:16:19
"260",2019-12-05 23:16:20,-0.122660040855408,51.5073553323746,128,2019-12-05 23:16:20
"261",2019-12-05 23:16:21,-0.122650027275085,51.50734770298,128,2019-12-05 23:16:21
"262",2019-12-05 23:16:22,-0.122642040252686,51.5073379278183,128,2019-12-05 23:16:22
"263",2019-12-05 23:16:23,-0.122637748718262,51.5073245763779,126,2019-12-05 23:16:23
"264",2019-12-05 23:16:24,-0.122639775276184,51.5073157548904,126,2019-12-05 23:16:24
"265",2019-12-05 23:16:25,-0.122642636299133,51.5073088407516,125,2019-12-05 23:16:25
"266",2019-12-05 23:16:26,-0.122645735740662,51.507303237915,125,2019-12-05 23:16:26
"267",2019-12-05 23:16:27,-0.1226487159729,51.5072984695435,125,2019-12-05 23:16:27
"268",2019-12-05 23:16:28,-0.122650146484375,51.5072945356369,125,2019-12-05 23:16:28
"269",2019-12-05 23:16:29,-0.12264883518219,51.5072913169861,125,2019-12-05 23:16:29
"270",2019-12-05 23:16:30,-0.122645020484924,51.5072885751724,124,2019-12-05 23:16:30
"271",2019-12-05 23:16:31,-0.122638821601868,51.5072859525681,124,2019-12-05 23:16:31
"272",2019-12-05 23:16:32,-0.122631192207336,51.5072828531265,124,2019-12-05 23:16:32
"273",2019-12-05 23:16:33,-0.122622489929199,51.50727891922,124,2019-12-05 23:16:33
"274",2019-12-05 23:16:34,-0.122610807418823,51.5072748661041,123,2019-12-05 23:16:34
"275",2019-12-05 23:16:35,-0.122593998908997,51.5072714090347,123,2019-12-05 23:16:35
"276",2019-12-05 23:16:36,-0.122573137283325,51.5072693824768,123,2019-12-05 23:16:36
"277",2019-12-05 23:16:37,-0.122548460960388,51.5072674751282,123,2019-12-05 23:16:37
"278",2019-12-05 23:16:38,-0.122522354125977,51.5072662830353,123,2019-12-05 23:16:38
"279",2019-12-05 23:16:39,-0.122493982315063,51.5072644948959,123,2019-12-05 23:16:39
"280",2019-12-05 23:16:40,-0.122462511062622,51.5072610378265,123,2019-12-05 23:16:40
"281",2019-12-05 23:16:41,-0.122429728507996,51.5072541236877,122,2019-12-05 23:16:41
"282",2019-12-05 23:16:42,-0.122395515441895,51.5072441101074,122,2019-12-05 23:16:42
"283",2019-12-05 23:16:43,-0.122364521026611,51.5072330236435,122,2019-12-05 23:16:43
"284",2019-12-05 23:16:44,-0.122342944145203,51.507223367691,122,2019-12-05 23:16:44
"285",2019-12-05 23:16:45,-0.122321963310242,51.5072140693665,121,2019-12-05 23:16:45
"286",2019-12-05 23:16:46,-0.122292995452881,51.5072039365768,120,2019-12-05 23:16:46
"287",2019-12-05 23:16:47,-0.122260451316833,51.5071960687637,119,2019-12-05 23:16:47
"288",2019-12-05 23:16:48,-0.122225165367126,51.5071928501129,120,2019-12-05 23:16:48
